Ticket ID,Ticket Subject,Ticket Description,Ticket Type,Ticket Priority,Ticket Channel
1,App keeps crashing on launch,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Medium,Chat
2,Unable to log into my account,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Low,Email
3,Question about my last invoice,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Chat
4,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Phone
5,Website is throwing a 500 error,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Medium,Chat
6,Unexpected charge on my card,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Low,Email
7,Refund needed for accidental purchase,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Social media
8,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
9,Asking about enterprise features,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Email
10,Unexpected charge on my card,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,High,Email
11,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Phone
12,Unexpected charge on my card,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Phone
13,Website is throwing a 500 error,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Social media
14,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Email
15,Charged twice for the same subscription,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Email
16,Invoice total does not match plan price,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Social media
17,Cancelling due to lack of use,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Low,Chat
18,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,High,Social media
19,"Product did not work as advertised, want refund","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,High,Email
20,Unable to log into my account,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Social media
21,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
22,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Email
23,Asking about enterprise features,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Social media
24,Need clarification on billing cycle,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Critical,Phone
25,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,High,Phone
26,Does this support multiple users,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Chat
27,Question about upgrading my plan,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Email
28,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Low,Email
